Country,Area,Continent,Parameter,Age,Sex,Variable,SIGICategories,Categories,Value,Average,Latitude,Longitude
Afghanistan,Southern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,4.7,17.75,29.3,39.3661
Afghanistan,Southern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,12,17.75,29.3,39.3661
Afghanistan,Southern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,39.3,17.75,29.3152,39.3661
Afghanistan,Southern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,18.8,17.75,29.3,39.3661
Afghanistan,Southern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,25.6,17.75,29.3152,39.3661
Afghanistan,Southern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,22,17.75,29.3152,39.3661
Afghanistan,Southern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,17.75,29.3152,39.3661
Afghanistan,Southern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,17.75,29.3152,39.3661
Afghanistan,Southern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,17.75,29.3152,39.3661
Afghanistan,Southern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,17.75,29.3152,39.3661
Afghanistan,Southern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,17.75,29.3152,39.3661
Afghanistan,Southern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,17.75,29.3152,39.3661
Afghanistan,Southern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,83.7,17.75,29.3,39.3661
Afghanistan,Southern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,17.75,29.3,39.3661
Albania,Southern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,45.7,17.75,32.3275,7.8189
Albania,Southern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,65.1,54.94,32.3275,7.8189
Albania,Southern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,23.2,54.94,32.3275,7.8189
Albania,Southern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,40.7,54.94,32.3275,-10.8189
Albania,Southern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,10.5,54.94,32.3275,7.8189
Albania,Southern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,95,54.94,32.3275,7.8189
Albania,Southern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,75.8,54.94,32.3275,7.8189
Albania,Southern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,54.94,32.3275,7.8189
Albania,Southern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,75.9,54.94,32.3275,7.8189
Albania,Southern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,69.8,54.94,32.3275,7.8189
Albania,Southern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,35.2,54.94,32.3275,7.8189
Albania,Southern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,67.8,54.94,32.3275,7.8189
Albania,Southern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,93.3,54.94,32.3275,7.8189
Albania,Southern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,54.94,32.3275,7.8189
